"Dispersal.unit.dry.mass" "Fine.root.length.per.fine.root.dry.mass..specific.fine.root.length..SRL." "Leaf.area..in.case.of.compound.leaves.undefined.if.leaf.or.leaflet..undefined.if.petiole.is.in..or.excluded." "Leaf.area..in.case.of.compound.leaves..leaf..petiole.excluded." "Leaf.area..in.case.of.compound.leaves..leaf..petiole.included." "Leaf.area..in.case.of.compound.leaves..leaf..undefined.if.petiole.in..or.excluded." "Leaf.area..in.case.of.compound.leaves..leaflet..petiole.excluded." "Leaf.area..in.case.of.compound.leaves..leaflet..petiole.included." "Leaf.area..in.case.of.compound.leaves..leaflet..undefined.if.petiole.is.in..or.excluded." "Leaf.area.per.leaf.dry.mass..specific.leaf.area..SLA.or.1.LMA...petiole.excluded" "Leaf.area.per.leaf.dry.mass..specific.leaf.area..SLA.or.1.LMA...petiole.included" "Leaf.area.per.leaf.dry.mass..specific.leaf.area..SLA.or.1.LMA...undefined.if.petiole.is.in..or.excluded" "Leaf.carbon..C..isotope.signature..delta.13C." "Leaf.carbon.nitrogen..C.N..ratio" "Leaf.chlorophyll.content.per.leaf.dry.mass" "Leaf.dry.mass.per.leaf.fresh.mass..leaf.dry.matter.content..LDMC." "Leaf.lifespan..longevity." "Leaf.nitrogen..N..content.per.leaf.dry.mass" "Leaf.phosphorus..P..content.per.leaf.dry.mass" "Leaf.thickness" "Leaf.width" "Plant.height.vegetative" "Plant.lifespan..longevity." "Root.length.per.root.dry.mass..specific.root.length..SRL." "Root.rooting.depth" "Root.shoot.ratio" "Seed.dry.mass" "Species.environmental.indicator.value.according.to.Ellenberg..continentality" "Species.environmental.indicator.value.according.to.Ellenberg..light" "Species.environmental.indicator.value.according.to.Ellenberg..moisture" "Species.environmental.indicator.value.according.to.Ellenberg..nitrogen" "Species.environmental.indicator.value.according.to.Ellenberg..pH" "Species.environmental.indicator.value.according.to.Ellenberg..salt.tolerance" "Species.environmental.indicator.value.according.to.Ellenberg..temperature" "Stem.specific.density..SSD..or.wood.density..stem.dry.mass.per.stem.fresh.volume."
"Quercus pubescens" NA NA NA NA 3969.25 3247.5 3757.02808152067 4426.9 3220 10.5941630600633 12.938 13.4090666666667 -27.2825 15.7622027535 NA 0.449311785714286 6.77260273972603 20.4759727272727 1.34 NA NA 16.9242424242424 500 NA NA NA 1479.094 3 3 1 2 4 NA 5 0.642639807891355
"Quercus robur" 2554.93 2914.172663 1251.07207728406 2697.55 3386.4708 4100.416 3041.23893197279 6493.3475 4091.586 13.9773829117195 14.9604513874022 10.5956662432593 NA 24.6228461734994 4.2182135 0.385275352622746 7.5 21.7690135821107 1.46206617595144 0.189663768115942 6 1.03023256028131 771.428571428571 NA 0.8 0.275701768285714 2892.89126153846 3 5.66666666666667 4.66666666666667 3.5 2.5 0 4.5 0.613168392390478
"Salix alba" NA NA 3162 NA 765.44 600 827.334 766.626 600 11.6560028857143 13.47 13.6017456952834 NA 42.3210822345 NA 0.277850541508 NA 28.306 NA NA NA 21.3779230769231 139.090909090909 NA 0.6096 NA 0.4595 NA 6 7.66666666666667 8 7.5 0 5 0.323876666666667
"Sorbus aria" 456.65 NA 3162 NA 6713.5 3611.66666666667 5930.383 5975.078 3780 20.9904152828571 24.015 15.7349534886861 NA 39.7094031625 NA 0.276277916666667 NA 5.881 5.10333333333333 0.144 6.5 10.9715 200 NA NA NA 98.6656547617857 4 5 3.66666666666667 3.6 5.66666666666667 0 3 0.68654
"Sorbus aucuparia subsp. maderensis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.59 NA NA NA NA NA NA NA NA
"Sorbus aucuparia subsp. sibirica" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 NA NA NA NA NA NA NA NA NA NA NA NA NA
"Taxus baccata" NA NA 32 49.5 51.45 49.8766666666667 51.5889506063514 NA 49.815 7.4859270678528 NA 7.59262452489994 -25.37 65 NA 0.360858934463262 33 19.960774410798 1.72850427350427 0.292 2.25 16.590962962963 1130.76923076923 NA 0.9066 NA 53.7653285546197 2 3 3.5 4 6 0 3 0.616516023776938
"Tilia cordata" NA 1649.0836912 3162 NA 2630 2760.367 868.5 NA 2791.9564 28.0216314330349 NA 22.046351375105 -27.28 24.3315118931538 NA 0.280981595092025 4.8 24.3785748792222 2.38790573746154 0.14147048611125 NA 24.0976363636364 880 NA 0.6604 0.324264706 37.2453563696193 3 4 4 4.66666666666667 5.25 0 4 0.434117203516514
"Tilia platyphylla" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Ulmus glabra" 11.1842857142857 NA 3162 4165.28888888889 3679 3337.60222222222 4077.05307710728 4313.414 3134.87962962963 16.0972256434772 34.842 14.3508144146987 NA 2 NA 0.353532880504881 6 22.7212500333833 1.84569444444444 0.17683236882716 NA 34.1021739130435 357.142857142857 NA NA NA 10.68998037 NA 4 5 6 7 0 NA 0.600078149963099
