"Di"	"SName"	"monoculture"	"sd"	"mean"	"CV"	"TS"	"Id"	"monoculture_relative"	"site"	"persists"
4.10423678579605	"TPla"	1.794641	0.458752416284942	1.70203454545455	0.269531789181416	3.71013750562432	13	0.130939962706384	"Davos"	TRUE
4.08238233777311	"AGlu"	0.000237	0.0007145818866493	0.000215454545454545	3.3166247903554	0.301511344577764	14	1.72919102825651e-05	"Davos"	FALSE
4.08073778979974	"QPub"	0	0	0	NA	NA	15	0	"Davos"	FALSE
4.02463010421773	"SAri"	0.000437	0.00131760457580483	0.000397272727272727	3.3166247903554	0.301511344577764	16	3.18842396349408e-05	"Davos"	FALSE
3.96304498896519	"PTre"	0.000339	0.000571793033122364	0.000314545454545455	1.81783912264335	0.550103684943188	17	2.47339982522767e-05	"Davos"	FALSE
3.96011541644128	"APla"	0	0	0	NA	NA	18	0	"Davos"	FALSE
3.91611390270515	"TCor"	0.886833	0.481066908238156	0.817787272727273	0.588254334937038	1.69994497381313	19	0.0647047960827767	"Davos"	TRUE
3.90985874801175	"SAlb"	1.089254	0.300515508878267	1.03179818181818	0.291254156262142	3.43342739837146	20	0.0794737655819629	"Davos"	TRUE
3.86628219362894	"QPet"	0.000417	0.000853679735561932	0.000379090909090909	2.2519129715063	0.44406689452617	21	3.04250066997032e-05	"Davos"	FALSE
3.86108071747658	"CAve"	0	0	0	NA	NA	22	0	"Davos"	FALSE
3.8505448569429	"SAuc"	0	0	0	NA	NA	23	0	"Davos"	FALSE
3.84390347447605	"FSyl"	0	0	0	NA	NA	24	0	"Davos"	FALSE
3.70032665350851	"ACam"	0.000218	0.000657294731179525	0.000198181818181818	3.3166247903554	0.301511344577764	25	1.59056389940895e-05	"Davos"	FALSE
3.63557912119768	"CSat"	0.217549	0.0211341747370978	0.215752727272727	0.097955539214958	10.208713136738	26	0.0158727332913998	"Davos"	TRUE
3.51845846677564	"APse"	0	0	0	NA	NA	27	0	"Davos"	FALSE
3.50445226944713	"FExc"	0	0	0	NA	NA	28	0	"Davos"	FALSE
3.4407273141339	"CBet"	0	0	0	NA	NA	29	0	"Davos"	FALSE
5.91164313584738	"AVir"	0.998502	0.0609646637442916	0.990623636363636	0.0615417011127249	16.2491445949522	0	0.0262746094050967	"Adelboden"	TRUE
5.66081750476897	"PMon"	2.364775	0.20411037648114	2.36730454545455	0.0862205823382766	11.5981587328721	1	0.0622267551351299	"Adelboden"	TRUE
5.59937170768693	"TBac"	1.756761	0.0533314211494329	1.74986272727273	0.0304774885013714	32.8111025275263	2	0.0462274578249288	"Adelboden"	TRUE
5.45088151904219	"AAlb"	1.251763	0.162972428426629	1.24601545454545	0.130794869222614	7.64555984453785	3	0.032938926404506	"Adelboden"	TRUE
5.43859590321483	"PCem"	1.539523	0.0680361791188402	1.52728909090909	0.0445470209430638	22.448190223048	4	0.040511051049635	"Adelboden"	TRUE
5.12023310117073	"LDec"	1.374772	0.0631502285031495	1.37158	0.0460419578173708	21.7193196685202	5	0.036175788652465	"Adelboden"	TRUE
4.66257804432037	"BPen"	0.632084	0.241562452026574	0.596260909090909	0.405128775580598	2.46835095474737	6	0.0166326759597989	"Adelboden"	TRUE
4.54173654409529	"QRob"	0.150803	0.0932965080901648	0.140672727272727	0.663216743564568	1.50780270507849	7	0.00396823433715385	"Adelboden"	TRUE
4.54005779679717	"PAbi"	0.390505	0.190145769704097	0.363411818181818	0.523223957480012	1.91122746904838	8	0.0102757594333685	"Adelboden"	TRUE
4.32814443523422	"PSyl"	1.15889	0.129306403617004	1.15104181818182	0.112338580210106	8.90166137162948	9	0.0304950636988934	"Adelboden"	TRUE
4.25789614695819	"PNig"	2.278502	0.239465498118395	2.26704090909091	0.105629103188271	9.46708785567955	10	0.0599565650131212	"Adelboden"	TRUE
4.20036271601683	"AInc"	3.025863	0.124071755155123	3.02195545454545	0.0410567783083966	24.3565141056255	11	0.0796226431577844	"Adelboden"	TRUE
4.13823208797057	"UGla"	0.020232	0.00977842011778999	0.01842	0.530858855471769	1.88373988621007	12	0.000532385410829338	"Adelboden"	FALSE
4.10423678579605	"TPla"	2.536046	0.123610390347326	2.52477727272727	0.0489589286479125	20.4252835512698	13	0.0667335849936783	"Adelboden"	TRUE
4.08238233777311	"AGlu"	1.650978	0.191964861803593	1.64115454545455	0.116969399582308	8.5492445337922	14	0.0434438810201759	"Adelboden"	TRUE
4.08073778979974	"QPub"	0.003237	0.00428910967663242	0.00294272727272727	1.45752877488281	0.68609280120758	15	8.51785080493558e-05	"Adelboden"	FALSE
4.02463010421773	"SAri"	0.028579	0.00297802649722628	0.0283227272727273	0.10514617708069	9.51056926427852	16	0.000752028601032605	"Adelboden"	FALSE
3.96304498896519	"PTre"	2.350075	0.166054139982882	2.34973363636364	0.07066934626678	14.1504068287961	17	0.061839938926194	"Adelboden"	TRUE
3.96011541644128	"APla"	2.147687	0.545197635658183	2.04402454545455	0.266727538507588	3.7491441850934	18	0.0565142954640089	"Adelboden"	TRUE
3.91611390270515	"TCor"	3.006879	0.142543869559834	3.00456090909091	0.0474424962158492	21.0781489121125	19	0.0791230976536729	"Adelboden"	TRUE
3.90985874801175	"SAlb"	2.174183	0.0712504154756627	2.16832363636364	0.0328596775318801	30.4324349814392	20	0.0572115119450951	"Adelboden"	TRUE
3.86628219362894	"QPet"	1.803575	0.129234247656234	1.81457454545455	0.0712201369626624	14.0409727170878	21	0.0474593227232366	"Adelboden"	TRUE
3.86108071747658	"CAve"	1.492018	0.548934481187294	1.39259181818182	0.394181894522394	2.53689987768626	22	0.0392610031581044	"Adelboden"	TRUE
3.8505448569429	"SAuc"	1.468347	0.561995498471134	1.38235272727273	0.406549997973315	2.45972206367011	23	0.0386381238056063	"Adelboden"	TRUE
3.84390347447605	"FSyl"	1.255732	0.739657621968681	1.16763181818182	0.633468196439217	1.57861121619221	24	0.0330433667809187	"Adelboden"	TRUE
3.70032665350851	"ACam"	0.416383	0.048258674886679	0.414547272727273	0.116412959538219	8.59010890167856	25	0.0109567138452626	"Adelboden"	TRUE
3.63557912119768	"CSat"	0.384464	0.0165165830716779	0.383231818181818	0.0430981517924012	23.2028511296003	26	0.0101167963913153	"Adelboden"	TRUE
3.51845846677564	"APse"	0.000784	0.00158587572595769	0.000712727272727273	2.22508073795084	0.449421894200989	27	2.0630197809915e-05	"Adelboden"	FALSE
3.50445226944713	"FExc"	0.000432	0.000881465721501306	0.000392727272727273	2.24447290197092	0.445538905424913	28	1.13676600177083e-05	"Adelboden"	FALSE
3.4407273141339	"CBet"	0.34017	0.218567716941663	0.315650909090909	0.692434935705236	1.44417901009214	29	0.00895124284311071	"Adelboden"	TRUE
5.91164313584738	"AVir"	0.80588	0.079110873267149	0.800680909090909	0.0988044954849383	10.1209969758151	0	0.0150468560906047	"Huttwil"	TRUE
5.66081750476897	"PMon"	2.480786	0.0922602876451381	2.46247181818182	0.0374665354396864	26.6904849424842	1	0.0463195884419353	"Huttwil"	TRUE
5.59937170768693	"TBac"	1.818669	0.0519578951564717	1.82543909090909	0.0284632313481334	35.1330454286449	2	0.0339569795992504	"Huttwil"	TRUE
5.45088151904219	"AAlb"	0.89037	0.195667647458179	0.894587272727273	0.218723933844553	4.57197336579864	3	0.0166243972519379	"Huttwil"	TRUE
5.43859590321483	"PCem"	1.485693	0.0672349840620059	1.47933272727273	0.0454495346601026	22.0024254918905	4	0.0277398728915207	"Huttwil"	TRUE
5.12023310117073	"LDec"	1.537703	0.0772965399554917	1.53201090909091	0.0504543012695381	19.8199157423225	5	0.0287109690662271	"Huttwil"	TRUE
4.66257804432037	"BPen"	0.866627	0.0378143718950637	0.865322727272727	0.0436997327161911	22.8834351572474	6	0.0161810837261533	"Huttwil"	TRUE
4.54173654409529	"QRob"	0.713768	0.0363119550811875	0.713382727272727	0.0509010853402754	19.6459465120433	7	0.0133270020078408	"Huttwil"	TRUE
4.54005779679717	"PAbi"	1.268951	0.040485296410605	1.26860363636364	0.0319132747614166	31.3349227704142	8	0.0236930102286059	"Huttwil"	TRUE
4.32814443523422	"PSyl"	1.51795	0.0349526821444494	1.51572090909091	0.0230601042281676	43.3649384280975	9	0.0283421541702653	"Huttwil"	TRUE
4.25789614695819	"PNig"	3.031333	0.236495098038762	3.03563818181818	0.0779062206606962	12.8359454677603	10	0.056599036349954	"Huttwil"	TRUE
4.20036271601683	"AInc"	3.418814	0.234160937981474	3.43310181818182	0.0682068142405069	14.6612917072165	11	0.063833824215199	"Huttwil"	TRUE
