"SName"	"monoculture.t.ha."	"Id"	"Di"	"monoculture_relative"	"site"	"persists"
"FSyl"	164.868598	17	3.84390347447605	0.0617890644736552	"Schwerin"	TRUE
"LDec"	288.862409	1	5.12023310117073	0.108259172639512	"Schwerin"	TRUE
"PAbi"	7.100351	2	4.54005779679717	0.00266105280839825	"Schwerin"	TRUE
"PCem"	201.608267	3	5.43859590321483	0.0755582710061311	"Schwerin"	TRUE
"PMon"	88.625787	4	5.66081750476897	0.0332149635127693	"Schwerin"	TRUE
"PNig"	0.166655	19	4.25789614695819	6.24585680036959e-05	"Schwerin"	FALSE
"PSyl"	222.236494	5	4.32814443523422	0.083289269289262	"Schwerin"	TRUE
"PTre"	50.028916	20	3.96304498896519	0.0187497191931667	"Schwerin"	TRUE
"QPet"	242.477763	21	3.86628219362894	0.090875244365423	"Schwerin"	TRUE
"QPub"	170.589264	22	4.08073778979974	0.06393304219042	"Schwerin"	TRUE
"QRob"	276.883939	23	4.54173654409529	0.103769909892669	"Schwerin"	TRUE
"SAlb"	0.206365	24	3.90985874801175	7.73409881856693e-05	"Schwerin"	FALSE
"SAri"	17.154407	25	4.02463010421773	0.00642908821321039	"Schwerin"	TRUE
"SAuc"	8.102636	26	3.8505448569429	0.00303668681776841	"Schwerin"	TRUE
"TBac"	103.00119	6	5.59937170768693	0.0386025431584807	"Schwerin"	TRUE
"TCor"	162.86791	27	3.91611390270515	0.0610392513417229	"Schwerin"	TRUE
"TPla"	71.157291	28	4.10423678579605	0.0266681617646172	"Schwerin"	TRUE
"UGla"	49.934601	29	4.13823208797057	0.0187143720398183	"Schwerin"	TRUE
"AAlb"	159.76601	0	5.45088151904219	0.0292131082798711	"Bern"	TRUE
"ACam"	26.113411	7	3.70032665350851	0.00477481976986079	"Bern"	TRUE
"AGlu"	150.380422	10	4.08238233777311	0.0274969597792341	"Bern"	TRUE
"AInc"	108.41928	11	4.20036271601683	0.0198243929748616	"Bern"	TRUE
"APla"	103.884525	8	3.96011541644128	0.0189952160501973	"Bern"	TRUE
"APse"	179.113286	9	3.51845846677564	0.032750744781581	"Bern"	TRUE
"AVir"	0.375686	12	5.91164313584738	6.86939343182674e-05	"Bern"	FALSE
"BPen"	132.457985	13	4.66257804432037	0.0242198541375512	"Bern"	TRUE
"CAve"	0.641398	16	3.86108071747658	0.000117279196147496	"Bern"	FALSE
"CBet"	117.230765	14	3.4407273141339	0.0214355671251797	"Bern"	TRUE
"CSat"	326.193236	15	3.63557912119768	0.0596442154587797	"Bern"	TRUE
"FExc"	258.802204	18	3.50445226944713	0.0473218102431255	"Bern"	TRUE
"FSyl"	269.853295	17	3.84390347447605	0.0493424948555391	"Bern"	TRUE
"LDec"	457.521846	1	5.12023310117073	0.0836575641314727	"Bern"	TRUE
"PAbi"	350.828462	2	4.54005779679717	0.0641487500881235	"Bern"	TRUE
"PCem"	259.525588	3	5.43859590321483	0.0474540805246449	"Bern"	TRUE
"PMon"	107.610805	4	5.66081750476897	0.019676563860793	"Bern"	TRUE
"PNig"	202.491655	19	4.25789614695819	0.0370254639474648	"Bern"	TRUE
