"site"	"order"	"simul"	"speciesShortName"	"mean_biom_tot"
"GrandeDixence"	"random_1"	1	"LDec"	17.5354686322273
"GrandeDixence"	"random_1"	1	"PAbi"	40.2241178298182
"GrandeDixence"	"random_1"	1	"PCem"	180.288562074409
"GrandeDixence"	"random_1"	2	"LDec"	18.1800825256364
"GrandeDixence"	"random_1"	2	"PAbi"	39.5959319786818
"GrandeDixence"	"random_1"	2	"PCem"	177.350658012659
"GrandeDixence"	"random_1"	3	"LDec"	18.7729500472727
"GrandeDixence"	"random_1"	3	"PAbi"	39.2111051405455
"GrandeDixence"	"random_1"	3	"PCem"	180.5584120675
"GrandeDixence"	"random_1"	4	"LDec"	37.9105868937273
"GrandeDixence"	"random_1"	4	"PAbi"	39.6357683850455
"GrandeDixence"	"random_1"	4	"PCem"	162.335510357818
"GrandeDixence"	"random_1"	5	"LDec"	34.1563437175682
"GrandeDixence"	"random_1"	5	"PAbi"	40.7801554865682
"GrandeDixence"	"random_1"	5	"PCem"	164.411031733341
"GrandeDixence"	"random_1"	6	"LDec"	20.5432528326591
"GrandeDixence"	"random_1"	6	"PAbi"	41.9390863664091
"GrandeDixence"	"random_1"	6	"PCem"	174.084482457864
"GrandeDixence"	"random_1"	7	"LDec"	34.0073002154773
"GrandeDixence"	"random_1"	7	"PAbi"	39.1994946392727
"GrandeDixence"	"random_1"	7	"PCem"	171.524564492591
"GrandeDixence"	"random_1"	8	"LDec"	34.0191939934545
"GrandeDixence"	"random_1"	8	"PAbi"	39.8926613165
"GrandeDixence"	"random_1"	8	"PCem"	161.898598899727
"GrandeDixence"	"random_1"	9	"LDec"	32.7616945399545
"GrandeDixence"	"random_1"	9	"PAbi"	39.757393628
"GrandeDixence"	"random_1"	9	"PCem"	163.174464878818
"GrandeDixence"	"random_1"	10	"LDec"	20.3580926395682
"GrandeDixence"	"random_1"	10	"PAbi"	42.5783233940455
"GrandeDixence"	"random_1"	10	"PCem"	177.144053560886
"GrandeDixence"	"random_1"	11	"PAbi"	38.5491835360682
"GrandeDixence"	"random_1"	11	"PCem"	197.831183260114
"GrandeDixence"	"random_1"	11	"PMon"	0.157699445964286
"GrandeDixence"	"random_1"	12	"PAbi"	37.5303336183182
"GrandeDixence"	"random_1"	12	"PCem"	201.326495853636
"GrandeDixence"	"random_1"	13	"AVir"	0.405533535444444
"GrandeDixence"	"random_1"	13	"PAbi"	83.4737539322045
"GrandeDixence"	"random_1"	14	"PAbi"	86.1241619741136
"GrandeDixence"	"random_1"	15	"PAbi"	85.5224095053864
"GrandeDixence"	"random_1"	16	"PAbi"	84.535218579
"GrandeDixence"	"random_1"	17	"PAbi"	84.7457235864545
"GrandeDixence"	"random_1"	18	"PAbi"	84.9708284183864
"GrandeDixence"	"random_1"	19	"PAbi"	85.4588930541818
"GrandeDixence"	"random_1"	20	"PAbi"	85.0119644987045
"GrandeDixence"	"random_1"	21	"PAbi"	86.9584494333864
"GrandeDixence"	"random_1"	22	"PAbi"	85.8170679981136
"GrandeDixence"	"random_1"	23	"PAbi"	83.8364295237955
"GrandeDixence"	"random_1"	24	"PAbi"	84.0756746444318
"GrandeDixence"	"random_1"	25	"PAbi"	84.4717155121591
"GrandeDixence"	"random_1"	26	"PAbi"	86.9607284596364
"GrandeDixence"	"random_1"	27	"PAbi"	85.3988051481591
"GrandeDixence"	"random_1"	28	"PAbi"	85.0253734969091
"GrandeDixence"	"random_1"	29	"PAbi"	85.5031670813182
"GrandeDixence"	"random_1"	29	"PAbi"	85.5031670813182
"GrandeDixence"	"random_2"	1	"LDec"	34.4431785982955
"GrandeDixence"	"random_2"	1	"PAbi"	42.11893246375
"GrandeDixence"	"random_2"	1	"PCem"	152.736375279068
"GrandeDixence"	"random_2"	2	"LDec"	34.87509061325
"GrandeDixence"	"random_2"	2	"PAbi"	40.8268211705909
"GrandeDixence"	"random_2"	2	"PCem"	163.370949247682
"GrandeDixence"	"random_2"	3	"LDec"	23.6988277223182
"GrandeDixence"	"random_2"	3	"PAbi"	40.4044131466591
"GrandeDixence"	"random_2"	3	"PCem"	173.311421142659
"GrandeDixence"	"random_2"	4	"LDec"	29.8333774931591
"GrandeDixence"	"random_2"	4	"PAbi"	42.0845174942727
"GrandeDixence"	"random_2"	4	"PCem"	159.675384284636
"GrandeDixence"	"random_2"	5	"LDec"	41.3779110866818
