"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"PSyl"	0.000917	"Basel"	"random_1"	1	0.000421427448760029	FALSE
"PTre"	0.028821	"Basel"	"random_1"	1	0.0132453222472331	TRUE
"QPet"	0.264436	"Basel"	"random_1"	1	0.121527359694991	TRUE
"QPub"	0.001061	"Basel"	"random_1"	1	0.00048760580494481	FALSE
"QRob"	0.21828	"Basel"	"random_1"	1	0.100315358250097	TRUE
"SAlb"	0.003952	"Basel"	"random_1"	1	0.00181622821973788	FALSE
"SAri"	0.000489	"Basel"	"random_1"	1	0.000224730667877486	FALSE
"SAuc"	0.001422	"Basel"	"random_1"	1	0.000653511267324712	FALSE
"TBac"	0.001078	"Basel"	"random_1"	1	0.000495418527549958	FALSE
"TCor"	0.014373	"Basel"	"random_1"	1	0.00660542717669345	TRUE
"TPla"	0.014617	"Basel"	"random_1"	1	0.00671756272467322	TRUE
"UGla"	0.077592	"Basel"	"random_1"	1	0.0356591042575662	TRUE
"AAlb"	0.011005	"Basel"	"random_1"	2	0.00518438851303446	TRUE
"AGlu"	0.002689	"Basel"	"random_1"	2	0.00126677153217171	FALSE
"AInc"	0.000983	"Basel"	"random_1"	2	0.000463085316520934	FALSE
"APla"	0.026284	"Basel"	"random_1"	2	0.0123822324104132	TRUE
"APse"	0.05284	"Basel"	"random_1"	2	0.0248926023651741	TRUE
"AVir"	0	"Basel"	"random_1"	2	0	FALSE
"BPen"	0.003751	"Basel"	"random_1"	2	0.00176707326782301	FALSE
"CAve"	0.000137	"Basel"	"random_1"	2	6.45398660868443e-05	FALSE
"CBet"	0.086425	"Basel"	"random_1"	2	0.0407142914347118	TRUE
"CSat"	0.541113	"Basel"	"random_1"	2	0.254915040568252	TRUE
"FExc"	0.015935	"Basel"	"random_1"	2	0.00750688150433477	FALSE
"FSyl"	0.812578	"Basel"	"random_1"	2	0.382800549672378	TRUE
"LDec"	0.002869	"Basel"	"random_1"	2	0.00135156843651939	FALSE
"PAbi"	0.016221	"Basel"	"random_1"	2	0.00764161436346497	FALSE
"PCem"	6.3e-05	"Basel"	"random_1"	2	2.96789165216875e-05	FALSE
"PMon"	0.000193	"Basel"	"random_1"	2	9.09211252172332e-05	FALSE
"PNig"	0.003286	"Basel"	"random_1"	2	0.00154801459825818	FALSE
"PSyl"	0.001102	"Basel"	"random_1"	2	0.00051914549217301	FALSE
"PTre"	0.016776	"Basel"	"random_1"	2	0.00790307148520365	TRUE
"QPet"	0.251296	"Basel"	"random_1"	2	0.118384015971968	TRUE
"QPub"	0.001412	"Basel"	"random_1"	2	0.000665184605216235	FALSE
"QRob"	0.15991	"Basel"	"random_1"	2	0.0753326276346516	TRUE
"SAlb"	0.003665	"Basel"	"random_1"	2	0.00172655919130135	FALSE
"SAri"	0.000318	"Basel"	"random_1"	2	0.000149807864347566	FALSE
"SAuc"	0.001034	"Basel"	"random_1"	2	0.000487111106086109	FALSE
"TBac"	0.000827	"Basel"	"random_1"	2	0.000389594666086279	FALSE
"TCor"	0.014609	"Basel"	"random_1"	2	0.0068822109756402	TRUE
"TPla"	0.014482	"Basel"	"random_1"	2	0.00682238204868379	TRUE
"UGla"	0.080916	"Basel"	"random_1"	2	0.0381190350677598	TRUE
"AAlb"	0.007249	"Basel"	"random_1"	3	0.0034032783960601	TRUE
"AInc"	0.001098	"Basel"	"random_1"	3	0.000515491747671954	FALSE
"APla"	0.027063	"Basel"	"random_1"	3	0.0127056039774555	TRUE
"APse"	0.051202	"Basel"	"random_1"	3	0.0240384412243164	TRUE
"AVir"	0	"Basel"	"random_1"	3	0	FALSE
"BPen"	0.006354	"Basel"	"random_1"	3	0.00298309158898688	FALSE
"CAve"	0.000122	"Basel"	"random_1"	3	5.72768608524393e-05	FALSE
"CBet"	0.09526	"Basel"	"random_1"	3	0.044722899711503	TRUE
"CSat"	0.517921	"Basel"	"random_1"	3	0.243154828275051	TRUE
"FExc"	0.016939	"Basel"	"random_1"	3	0.007952563491635	TRUE
"FSyl"	0.809081	"Basel"	"random_1"	3	0.379849343076659	TRUE
"LDec"	0.01899	"Basel"	"random_1"	3	0.00891547202940838	TRUE
"PAbi"	0.017903	"Basel"	"random_1"	3	0.00840514458886247	FALSE
"PCem"	0.000116	"Basel"	"random_1"	3	5.44599660564177e-05	FALSE
"PMon"	0.000316	"Basel"	"random_1"	3	0.000148356459257138	FALSE
"PNig"	0.004462	"Basel"	"random_1"	3	0.00209483076330807	FALSE
"PSyl"	0.001279	"Basel"	"random_1"	3	0.000600468074018606	FALSE
"PTre"	0.024429	"Basel"	"random_1"	3	0.011468987162002	TRUE
"QPet"	0.203897	"Basel"	"random_1"	3	0.0957260663707362	TRUE
"QPub"	0.00196	"Basel"	"random_1"	3	0.000920185633367058	FALSE
"QRob"	0.218604	"Basel"	"random_1"	3	0.102630744998251	TRUE
"SAlb"	0.005	"Basel"	"random_1"	3	0.002347412330018	FALSE
"SAri"	0.000345	"Basel"	"random_1"	3	0.000161971450771242	FALSE
"SAuc"	0.001367	"Basel"	"random_1"	3	0.000641782531026923	FALSE
"TBac"	0.001144	"Basel"	"random_1"	3	0.000537087941108119	FALSE
"TCor"	0.015077	"Basel"	"random_1"	3	0.00707838713993629	TRUE
"TPla"	0.013073	"Basel"	"random_1"	3	0.00613754427806507	TRUE
"UGla"	0.069754	"Basel"	"random_1"	3	0.0327482799336152	TRUE
"AAlb"	0.010913	"Basel"	"random_1"	4	0.0050804950980415	TRUE
"AInc"	0.001362	"Basel"	"random_1"	4	0.000634072603640843	FALSE
"APla"	0.027567	"Basel"	"random_1"	4	0.0128336853631183	TRUE
"APse"	0.055719	"Basel"	"random_1"	4	0.0259397146859502	TRUE
"AVir"	0	"Basel"	"random_1"	4	0	FALSE
"BPen"	0.005391	"Basel"	"random_1"	4	0.00250975433643743	FALSE
"CBet"	0.098944	"Basel"	"random_1"	4	0.0460629072647868	TRUE
"CSat"	0.559308	"Basel"	"random_1"	4	0.260383171657234	TRUE
"FExc"	0.016324	"Basel"	"random_1"	4	0.00759956033908452	FALSE
"FSyl"	0.822017	"Basel"	"random_1"	4	0.382686093558763	TRUE
"LDec"	0.009556	"Basel"	"random_1"	4	0.00444875022055205	TRUE
"PAbi"	0.015788	"Basel"	"random_1"	4	0.00735002809565465	FALSE
"PCem"	0	"Basel"	"random_1"	4	0	FALSE
"PMon"	3.7e-05	"Basel"	"random_1"	4	1.7225173520346e-05	FALSE
"PNig"	0.00403	"Basel"	"random_1"	4	0.00187614727802687	FALSE
"PSyl"	0.000734	"Basel"	"random_1"	4	0.000341710199025241	FALSE
"PTre"	0.017953	"Basel"	"random_1"	4	0.00835793351921003	TRUE
"QPet"	0.245798	"Basel"	"random_1"	4	0.11443008651227	TRUE
"QPub"	0.00176	"Basel"	"random_1"	4	0.000819359605292132	FALSE
"QRob"	0.141248	"Basel"	"random_1"	4	0.0657573326865358	TRUE
"SAlb"	0.004021	"Basel"	"random_1"	4	0.00187195737095435	FALSE
"SAri"	0.000383	"Basel"	"random_1"	4	0.000178303823197095	FALSE
"SAuc"	0.000996	"Basel"	"random_1"	4	0.000463683049358502	FALSE
"TBac"	0.000943	"Basel"	"random_1"	4	0.000439009152153682	FALSE
"TCor"	0.012644	"Basel"	"random_1"	4	0.00588635389165552	TRUE
"TPla"	0.014758	"Basel"	"random_1"	4	0.00687051650846664	TRUE
"UGla"	0.079825	"Basel"	"random_1"	4	0.0371621480070707	TRUE
"AAlb"	0.008099	"Basel"	"random_1"	5	0.00367944029257434	TRUE
"AInc"	0.000884	"Basel"	"random_1"	5	0.000401608250232833	FALSE
"APla"	0.027317	"Basel"	"random_1"	5	0.0124103309633601	TRUE
"APse"	0.055613	"Basel"	"random_1"	5	0.0252654294346137	TRUE
"AVir"	0	"Basel"	"random_1"	5	0	FALSE
"BPen"	0.006038	"Basel"	"random_1"	5	0.00274311155532335	FALSE
"CBet"	0.091945	"Basel"	"random_1"	5	0.041771346795993	TRUE
"CSat"	0.548743	"Basel"	"random_1"	5	0.249298321332031	TRUE
"FExc"	0.016356	"Basel"	"random_1"	5	0.00743066124525816	FALSE
"FSyl"	0.840046	"Basel"	"random_1"	5	0.381639597483134	TRUE
"LDec"	0.019874	"Basel"	"random_1"	5	0.00902891670263271	TRUE
"PAbi"	0.017979	"Basel"	"random_1"	5	0.00816800308929423	FALSE
