"species"	"mixture_t_ha"	"site"	"order"	"simul"	"mixture_relative"	"persists"
"SAri"	0.000195	"Adelboden"	"random_6"	9	9.65803139603129e-05	FALSE
"SAuc"	0.000775	"Adelboden"	"random_6"	9	0.000383844837534577	FALSE
"TBac"	0.000888	"Adelboden"	"random_6"	9	0.000439811891265425	FALSE
"TPla"	0.000192	"Adelboden"	"random_6"	9	9.50944629763081e-05	FALSE
"UGla"	0.003906	"Adelboden"	"random_6"	9	0.00193457798117427	FALSE
"AAlb"	0.076245	"Adelboden"	"random_6"	10	0.0377562268433922	TRUE
"APla"	0.004423	"Adelboden"	"random_6"	10	0.00219025236183781	FALSE
"APse"	0.040232	"Adelboden"	"random_6"	10	0.019922729600149	TRUE
"AVir"	0	"Adelboden"	"random_6"	10	0	FALSE
"BPen"	0.004267	"Adelboden"	"random_6"	10	0.00211300176983087	FALSE
"CAve"	6.5e-05	"Adelboden"	"random_6"	10	3.21877466695586e-05	FALSE
"CBet"	0.090708	"Adelboden"	"random_6"	10	0.0449182480754203	TRUE
"CSat"	0.000343	"Adelboden"	"random_6"	10	0.000169852263194748	FALSE
"LDec"	0.007362	"Adelboden"	"random_6"	10	0.00364563370740447	FALSE
"PAbi"	1.511183	"Adelboden"	"random_6"	10	0.748331931928363	TRUE
"PCem"	6.7e-05	"Adelboden"	"random_6"	10	3.31781388747758e-05	FALSE
"PMon"	1.5e-05	"Adelboden"	"random_6"	10	7.42794153912891e-06	FALSE
"PNig"	0.244615	"Adelboden"	"random_6"	10	0.121132394639601	TRUE
"PSyl"	0.000127	"Adelboden"	"random_6"	10	6.28899050312914e-05	FALSE
"QPet"	0.033578	"Adelboden"	"random_6"	10	0.0166276947333914	TRUE
"QRob"	0.000319	"Adelboden"	"random_6"	10	0.000157967556732141	FALSE
"SAri"	1e-04	"Adelboden"	"random_6"	10	4.95196102608594e-05	FALSE
"SAuc"	0.000426	"Adelboden"	"random_6"	10	0.000210953539711261	FALSE
"TBac"	0.000995	"Adelboden"	"random_6"	10	0.000492720122095551	FALSE
"TPla"	0.000308	"Adelboden"	"random_6"	10	0.000152520399603447	FALSE
"UGla"	0.004024	"Adelboden"	"random_6"	10	0.00199266911689698	FALSE
"AAlb"	0.098112	"Adelboden"	"random_6"	11	0.0486465902960683	TRUE
"APla"	0.004773	"Adelboden"	"random_6"	11	0.00236658283882842	FALSE
"APse"	0.041932	"Adelboden"	"random_6"	11	0.0207910227525148	TRUE
